GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Deuspotify,com.deusto.deuspotify.security,JwtUtil,51,7,0,0,15,2,5,1,5,1
Deuspotify,com.deusto.deuspotify.services,ProfileService,99,99,7,5,19,23,13,7,8,6
Deuspotify,com.deusto.deuspotify.services,DeuspotifyServiceImpl,122,194,17,11,30,34,18,13,5,12
Deuspotify,com.deusto.deuspotify.model,Playlist,18,93,2,2,1,27,3,17,1,17
Deuspotify,com.deusto.deuspotify.model,Song,23,106,0,0,2,36,2,19,2,19
Deuspotify,com.deusto.deuspotify.model,Profile,29,62,0,0,7,20,7,12,7,12
Deuspotify,com.deusto.deuspotify.DTO,PlaylistDTO,76,0,0,0,24,0,16,0,16,0
Deuspotify,com.deusto.deuspotify.DTO,SongDTO,110,0,0,0,36,0,19,0,19,0
Deuspotify,com.deusto.deuspotify.DTO,ProfileDTO,76,0,0,0,31,0,16,0,16,0
Deuspotify,com.deusto.deuspotify.config,FileStorageConfig,0,20,0,0,0,4,0,2,0,2
Deuspotify,com.deusto.deuspotify.config,SecurityConfig,0,169,0,0,0,33,0,10,0,10
Deuspotify,com.deusto.deuspotify.controllers,SongController,95,3,2,0,20,1,8,1,7,1
Deuspotify,com.deusto.deuspotify.controllers,PlaylistController,52,9,0,0,11,4,7,1,7,1
Deuspotify,com.deusto.deuspotify.controllers,AuthController,0,52,0,0,0,12,0,4,0,4
Deuspotify,com.deusto.deuspotify.controllers,ProfileController,80,6,2,0,17,3,10,1,9,1
Deuspotify,com.deusto.deuspotify.controllers,I18nController,115,6,7,0,22,3,8,1,4,1
Deuspotify,com.deusto.deuspotify,DeuspotifyApplication,5,3,0,0,2,1,1,1,1,1
Deuspotify,com.deusto.deuspotify,DataInitializer,75,136,5,5,13,36,5,5,0,5
Deuspotify,com.deusto.deuspotify.assembler,SongAssembler,87,0,8,0,28,0,9,0,5,0
Deuspotify,com.deusto.deuspotify.assembler,PlaylistAssembler,89,0,8,0,28,0,9,0,5,0
Deuspotify,com.deusto.deuspotify.assembler,ProfileAssembler,99,0,8,0,30,0,9,0,5,0
